comentario;titulo;etiqueta
Casi ni lo he usado pero está bien;El precio está muy bien;neutro
Recibido rápido, buenas características, tamaño, volveré a comprar a esta marca sin duda.;FANTASTICO;positivo
ES UN BUEN DESCORAZONADOR DE MANZANAS, CUMPLE SU FUNCION A LA PERFECCION LO RECOMIENDO Y LO VOLVERIA A COMPRAR. AH!!!, EN EL PAQUETE DONDE VIENE EL DESCORAZONADOR HAY UN CODIGO QUE TE DICE QUE SI PONES UNA RESEÑA Y LA MANDAS TE REGALAN OTRO DESCORAZONADOR Y ASI HA SIDO, ACABO DE RECIBIR EL SEGUNDO. ASI QUE TE DAN DOS POR EL PRECIO DE UNO;BUEN PRODUCTO 2X1;positivo
El pedido llegó en el tiempo comprometido. Pero al abrir la caja salió un fuerte olor a plástico y combustible. Uso desde hace años la talla 9 en Adidas y estas son enormes. Son rígidas y burdas. Me fui a un tienda Foot Locker y las que había allí eran perfectas. Pienso que me han enviado unas falsas. He pedido la devolución. Espero que no haya problemas.;Parecen falsas.;negativo
Alma de la guitarra doblada y cuerdas muy altas respecto al mástil q dificultan su uso... A pesar de eso va sonando;Baja calidad;positivo
Lo compré par a mi hijo de 6 años y le ha encantado, muy buena calidad;Buena compra;positivo
Un ratón acorde con el anuncio, es sencillo pero a la vez con buen aspecto. No es muy grande pero se puede escoger el color. Lo único malo es que no lleva las dos pilas necesarias para que funcione, lo que habría sido un buen detalle. Aún así, por el precio que tiene es una muy buena opción.;Sencillo;negativo
La compré por su robustez. Aparentemente es muy robusta, pero cuidado con los golpes que ya se me ha roto la carcasa trasera de mi galaxy s9 en alguna caída. La pantalla la protege bastante bien ya que está intacta. Estéticamente la veo demasiado robusta y hace el movil mucho más grande de lo que en realidad es;Menos fuerte de lo que parece;negativo
En las reuniones es el centro de atencion;Divertido y practico;positivo
El imán es insuficiente;No me convenció;negativo
Me vino antes de tiempo y perfectamente embalada. La unica pega q venian un poco sucias. Son tal cual cm n las fotos;Bien;negativo
"Queda un margen alrededor del marco que no se pega al cristal.... No encaja ""pefectamente"" como dice su publicación.";No cubre el 100x100 de la pantalla;negativo
No son una maravilla pero para el precio que tienen están muy bien.;Muy recomendables;positivo
Es un ventilador de sobre mesa, tamaño como lo imaginaba, cumple con lo que esperaba, muy bien calidad, precio... de momento. Veremos durabilidad.;Pequeño ventilador sobre mesa.;negativo
Son fantásticos ..!! El papel es un poco fino pero al colocarlos en el dedo se adaptan perfectamente Me han encantado;Pegan genial no se mueven;positivo
Para tender la ropa las veo un poco pequeñas. yo las utilizo para colgar las bufandas y fulares en la puerta del armario;Me gustan pero para otros usos;positivo
Es como en la foto pero es cuestión de gustos.;Bueno.;neutro
Llegó en tiempo, pero faltan las uniones del tubo tobogan;Faltan piezas;neutro
Hace una luz fuerte sin deslumbrar, el sensor funciona bien y en posición fija como punto de luz es considerable.;Buena luz;positivo
demasiado pequeño a lo que buscaba;mano negra;negativo
La verdad que una excelente calidad por el bajo precio que tiene . Es muy cómodo , parece bastante resistente y muy fácil de colocar. Sin duda lo recomiendo 100%.;BUENO BONITO BARATO;positivo
Buen producto. Justo lo que necesitaba. Lo malo es que no trae nada para tapar los huecos donde van los tornillos. Es muy resistente.;Buen producto;positivo
La torre era para regalo y la caja venía con un picotazo en la mitad de ella... Se veía perfectamente el agujero y era para regalo. En sí la compra en relación calidad precio está bien y la persona ha quedado satisfecha, pero creo que Amazon debería tener más cuidado con el transporte ya que no es el único producto que me ha llegado roto últimamente.;Cada vez hay menos cuidado en el transporte de los productos;negativo
Ya esperaba esa calidad-precio insuperable. Me llegó perfecta en tiempo y estado. Muy recomendable para iniciarse.;Cámara 10 de iniciación.;positivo
Se tardan unos 30 minutos para armarla pero no es tan dificil, pero no me parecio tan comoda ...;muy bonita pero no es tan comoda !;negativo
Ha llegado todo en perfectas condiciones y super rápido, la espada es un pasada cumple con todas sus funciones y es apta para la edad recomendada por el fabricante , es de fácil manejo y plegada no ocupa casi espacio. Una compra ideal;Rapidisimo;positivo
fantastico, tuve un pequeño problema pero lo solucionaron muy rapidamente.;comunicacion con el vendedor;negativo
Cumple mis expectativas, aunque la manera de sujetarlo al pedal es pésima, el adhesivo es muy flojo y las bridas que vienen no es lo más indicado para que no se caiga, así que para no perderlo hay que sujetarlo con remedio casero.;Buen artículo pero mala sujeción;negativo
Es un champú muy bueno. Deja el palo tan sedoso que no hace falta suavizante. Si lo pruebas, te lo quedas!;Genial;positivo
De tacto agradable y buena adherencia queda un poco pequeño en el M20;Un poco pequeño;negativo
Me ha gustado el olor pero podrían hacerla tamaño más grande;Lo bien que huele y dura;negativo
Bonitos acabados y muy atractivo. Algo pequeño pero muy elegante;Buen producto;positivo
Es tal cual se muestra en la imagen, lo utilizo en mí coche para cargar los teléfonos y sin peoblemas, le he conectado el navegador en alguna ocasión también sin problema. Es además útil ya que lee la tensión de la línea y da una idea de los consumos eléctricos del coche, además de la estado de la batería.;Cómo cargador de móvil muy bueno;positivo
Lo puse para sujetar unos paneles japoneses , que pesan muy poco, y a la mañana siguiente estaban en el suelo. Se despega totalmente del perfil de aluminio.;Adhesivo malo;negativo
El calor que da es prácticamente inapreciable y el masaje es muy tónico. No lo recomiendo a personas con problemas serios de espalda porque es muy fuerte. En cuanto al envío todo perfecto;Muy tónico;neutro
La funda en color Magenta no coincide con los colores de la foto. Los colores de la parte trasera y delantera son en diferente tono.;el color no coincide con el que aparece en la foto;negativo
Buena calidad, aunque por detrás es algo opaco. Se adapta bien al móvil y a los botones.;Todo correcto;positivo
Faltaban piezas en el envase ( termómetro y jeringa) : imperdonable. No se puede enviar un pedido si no se revisa las condiciones del envío;Una verdadera chapuza, decepcionado . No puedo decirlo con más claridad.;negativo
en menos de 6 meses, dejó de funcionar un auricular.;nada recomendable.;negativo
Es bastante fuerte para sujetar perros grandes/pequeños.;Diseño muy bonito y cómodo para los perros.;negativo
Entretenido. Viene con un libro se experimentos que explica bastante bien el procedimiento y la causa de las reacciones. Algo caro para lo que contiene, pero entretenido para acercarse a la ciencia. A la persona que se lo regale le gustó bastante.;Lo que esperaba;neutro
No se puede poner en español a pesar que en teoría el juego está en español;Muy mal;negativo
Son piezas muy pequeñas, con lo que se derriten muy rápido. El molde es de silicona y la tapa rígida, con lo que no cierra perfectamente y el agua se sale dentro del congelador.;Hielo muy pequeño;negativo
Lo dicho, con tanto cable y batería grande, se hace algo aparatosa camuflarla. Pero en general buena, en general yo le doy de uno a diez un ocho.;Buena pero con tanto cable y bateria se hace algo aparatosa.;positivo
Muy contenta, lo uso para hacer jabones y la verdad es que es muy fácil de desmoldar y es de el tamaño perfecto para lo que lo quiero;Muy contenta;positivo
Nada que ver con los colores de la foto,el rosa fucsia de la foto nada que ver con el color vino oscuro recibido;Gorra;negativo
Buena calidad precio;Comoda;positivo
Me gusta la rapidez y el precio en cuanto a la calidad del producto;Servicio rápido;positivo
No puede ser que uno compre una pantalla y te venga mal de fabrica, la pantalla funciona pero el apoyo donde se coloca la pantalla vino dañado;Apoyo defectuoso;negativo
Ha sido fácil de montar, es muy silenciosa y cómoda. La volvería a comprar;buena bicicleta estática;positivo
El cristal es diminuto y tienes que ser un artista para centrarlo. En cuanto a la carcasa es de buena calidad más dura que blanda perfecta por si se te cae el móvil, así sea con la pantalla hacia abajo.;Cristal deficiente - Carcasa buena;positivo
Tras un año de uso ha dejado de funcionar, durante ese año estaba encantado con ella pero como fabrican los productos para que duren poco e incitar al consumo así nos va. La batidora se encuentra en garantia pero hasta ahora solo son problemas para tramitarla y mientras tanto te tiras un mes sin batidora esperando que te digan algo.;Un año de uso dura;negativo
Lo esperado. Sólo me preocupa la banda de goma para ajustar. No parece muy duradera, aunque llevo tiempo con ella y no ha dado señales de debilitarse.;Elegante y práctica;negativo
Transporte de 10 Correa tal como de anuncia, buena calidad. La volvería a comprar.;Correa de repuesto Garmin S2;positivo
Correcto, pero muy sencillo, poca calidad, va bien;Muy sencillo;positivo
Los material no son de muy buena calidad . La presión a la salida del agua no tienes muchas opciones no la recomiendo aunque si es para poca cosa si vale;Poco práctica;positivo
Se trata de un alimentador especifico para Platinum, de buena calidad de materiales necesario para poder cargar tinta de tintero (no sirve el modelo estandar ni otros), la ventaja del convertidor es que no hace necesario usar cartuchos desechables de la marca que son bastante caros. Este convertidor lo encuentro caro, pero imprescindible.;Alimentador especifico para Platinum;positivo
Las esponjas la verdad q no son malas ahora en cuanto las limpies se despegan los velcros y para tirar;No las recomendaría;negativo
Pequeña y muy comoda. El color es mas rojizo de lo que parece;Muy bonita;positivo
Hace mucho ruido,supongo que los recambios, no se acoplan bien a la roomba,no lo aconsejo,porque ahora tendré que comprarme otros recambios.;No lo aconsejo;negativo
Cumple con lo esencial.;Cumple con lo esencial;neutro
las tapas a simple vista parecen perfectas para su uso, tamaño, cantidad i espacio que ahorra en los armarios, pero al utilizarlas te encuentras que con el calor de la sarten quedan haciendo unas ondas que parece que se van a derretir, luego cuando ya el fuego esta apagado recuperan su estado normal.;silicona de baja calidad;neutro
Pedí silicona color teja y cuando hemos abierto el bote,sorpresa silicona blanca.Que hacemos?;Mala;negativo
Muy decepcionada ya que nada más ponerlo se ha hecho una brecha en el cristal. Es muy muy fino;Muy frágil y muy delgada la película;negativo
En mi caso no ha servido de nada. Lo he utilizado para un cristal cuyo grosor está entre la medida soportada por este cortador, pero solo he conseguido rayarlo levemente. Al final utilizaré uno de los clásicos...más baratos y más efectivos.;Poco efectivo;negativo
Muy chula de diseño. Los tornillos se caen a menudo y hay q estar apretándolos. El manillar de manejo hace q la bici en giros sea inestable.;Bonita pero un poco inestable;positivo
No hace falta este lanzador porque va mejor con el que trae la peonza, dinero gastado a lo tonto. Un saludo;No hace falta, va mejor la peonza que trae la propia peonza Un saludo;negativo
No dura la batería lo que especifica;Aceptable;negativo
Es tal cual como la foto y fácil de montar con muy buena calidad;SUPER;positivo
Nunca lo recibí. Dinero perdido.;Dinero perdido.;negativo
La pistola es grande y le entra mucha agua, gran potencia de disparo y el agua llega a gran distancia. Pero el plástico lo veo muy endeble, se rompió a los dos meses. Hay que tener cuidado porque se puede partir ante una caída.;Gran pistola de agua pero muy endeble;negativo
Funciona perfecto,para no perder la configuración de la radio.;Buen invento;positivo
Era para un regalo para mi hijo que está en el extranjero,nada más llegarme se lo envié a él, y al abrirlo me ha comentado que está el cuero rayado y la correa rota ,y ahora al encontrarse en el extranjero me quedo sin artículo por que me sale más caro enviarlo aquí para el reemplazo;Fatal;negativo
Estoy muy contenta con la compra de este producto. Buscaba una lupa para hacer trabajos en miniatura y este producto ha resultado ser fantástico. Muy cómodo de poner, de gran utilidad el hecho de que se pueda regular la posición de la lente, muy fácil de cambiar las lentes y muy práctico que incorpore dos LEDs para iluminar la zona en la que estás trabajando. Respecto al empaquetado en el que mandan el producto, lo mandan en una caja que asegura que el producto no sufre daños. Ha cumplido sobradamente con las expectativas Recomiendo este producto.;Exactamente lo que buscaba;positivo
Mala calidad!!! La cremallera es de pena, la verdad que calidad precio una gran ruina. Me quede con ganas de devolverlo!!!;Mala calidad;negativo
Ha tardado 6 meses en llegar;Tardo 6 meses;neutro
La relacion calidad /precio es buena, yo le cambie el cable ,que es plastico y le puse uno que esta forrado (parecido al de las planchas) y quedaron bien..una de las tulipas tiene un par de burbujas pequeñas en el cristal ..colocadas no se notan..eso si, tardaron como 40 dias en llegar...;Buena compra;negativo
Voy a darle una opinión muy negativa puesto que creo que me han enviado un artículo falso. No hay manera de ser reconocido por la App para configúralo, ni con iOS ni con android, ni con otras apps. Al ir a ver el manual en la web del fabricante observo que el manual que trae es totalmente diferente al que trae el mío y el mío parece uno genérico de esos que traen los artículos chinos. No se como verificar si es original o no pero la imposibilidad para configurarlo y ese manual dan que pensar.;Creo que es falso;negativo
Es super finas. No llega a pasar la luz pero se ven muchos puntitos de lo finas que son. Material muy bajo.;Muy finas;negativo
No lo uso personalmente. Es para mi colección de relojes. Económicos, claro.;Colección.;negativo
Adecuado. Duración mínima;Adecuado. Duración mínima;neutro
"No son mis primeras Sketchers. Sé que compro muy buena calidad para el precio que tienen y estas no me han defraudado. Son como un guante y cómodas hasta decir basta (eso sí, no para correr con ellas, por mucho que diga ""zapatillas de entrenamiento""). Ahora bien, la suela es muy blanda y se desgasta con facilidad, de manera que en no demasiado tiempo queda bastante lisa. Y por bastante lisa quiero decir que llega a ser completamente resbaladiza en días de lluvia sobre superficies típicamente deslizantes como baldosas o pintura de pasos de cebra. Mucho cuidado con esto.";Muy cómodas, pero con problemas en la suela;negativo
Son originales Samsing y suenan bien y a un precio inmejorables. Pero si tiene prisa este no es tu producto.;Buenos pero deberás esperar un mes;negativo
Trae muchísimas pegatinas y son muy bonitas, pero hay que cogerlas con mucho cuidado porque se pueden partir ya que son muy finas. Y hay que saber ponértelas, yo uso unas pinzas.;Hay que tratarlo con mucho cuidado;positivo
Se cansa mucho la vista al ser una lupa;Y pierde calidad de imagen;positivo
Baja calidad de la tinta, tiene pequeños defectos de detalles pero he de decir que visualmente es muy fino y elegante;Baja calidad;negativo
Soy de talla grande de pantalones, he pedido los XL y aunque quedan bien si se sienten un pelin apretados. No los recomendaría a alguien generalmente grande pero de resto son correctos.;Correctos aunque un poco apretados;negativo
No funcionan y ma caja estaba rota;Auriculares no funcionan;negativo
Es perfecto y funcional, hace su trabajo y resiste los golpes.;Funcional;positivo
El material es bueno resistente, son cómodos aunque dan mucho calor , no tienen, o tienen muy poco desequilibrio entre la imagen del vídeo y el sonido lo que es bueno por que es el gran problema de estos auriculares, no le doy 5 estrellas por que me encontrado que en algunos momentos mientras estoy escuchando música el auricular se desconecta y se reconecta el solo, creo que es problema de software pero el precio me parece que sobrepasa las expectativas;Buena calidad - precio , larga duración de la batería.;negativo
Se me rompió el primer día.;Mala calidad;negativo
Lo que me lleve una sorpresa fue con la recepción del paquete, al no encontrarme en casa me lo dejaron debajo del felpudo, a la vista de todo el mundo que pasará por ahí. (Somos multitud de vecinos, y a un 90% ni los conozco) Si alguien hubiese decidido cogerlo, yo seguiría como un tonto esperando el paquete.;De momento cumplen su función;negativo
Yo soy de dulce pero eso me parece demasiado, te deja con sabor de azúcar en la boca y resulta que buscas mas dulces..;Demasiado dulce!;negativo
Debería ser un poco más grande para que ocupe toda la pantalla, pega y fija bien, fácil de poner no quedan burbujas.;J. I. P. C.;negativo
EL CRISTAL TEMPLADO ES UN POCO GRANDE MUY POCO, PERO LO JUSTO PARA QUE NO TERMINE DE ENTRAR DENTRO DEL BORDE Y AL QUEDARSE UN POC LEVANTADO PUES POR LOS BORDES NO TERMINA DE PEGAR, LE SOBRA UN POC DE ALTO Y DE ANCHO ES MUY POCO, PERO DESPUES DE VARIOS INTENTOS CONFIRMO LO ESCRITO.;NO VALE;negativo
Colocado en un corsa. Perfecto;Va bien;positivo
Le pongo una estrella por poner algo pedido no recibido y no responde el vendedor;Muy mal;negativo
Gran luminosidad en un peso muy contenido;Muy buen plafón;negativo
Muy contenta. Era para un regalo y la niña está feliz con ellas. No ha parado de jugar desde q se las di;Maravillosas y entretenidas;positivo
Muy pobres. En cuanto subes un poco el volumen se ven sus carencias .;Muy pobres .;negativo
Me encantó hasta que vi que el mando Pro de la Nintendo Switch no encajaba.;No vale para todos los mandos;negativo
Sorprendente para el precio que tiene;Bueno, para su precio;neutro
Llegó a tiempo y es lo que pedí. Todo correcti;Producto correcto.;positivo
recomendable. lo hemos usado una vez para mover un lavavajillas, y ha funcionado. las correas ajustables ayudan para los diferentes artículos a mover;recomendable;positivo
La clavija que va al mando de la play se sale mucho. Y se desconecta mucho, y no se puede escuchar;La clavija se sale del mando;negativo
Tengo la hero 5 y encaja bien y parece robusta. Ahora que la tengo no me parece muy práctica pk pesa un poco y ocupa mucho más espacio.;Buena calidad, robusta, pesada;positivo
Se me estropeó al mes de comprarlo.;Malo;negativo
De momento hace su funcion pero de vez en cuando da fallo,es facil de intalar siguiendo un tutorial por youtube;Funciona pero da fallo de vez en cuando;negativo
Pésimo producto me lo coloqué 2 veces y el segundero se cayó sin ninguna razón. Estoy a punto de devolverlo.;Pesimo;negativo
La verdad un producto muy bueno. Me ducho con ella y no se pone negra. Es muy bonita .;Lo compraría otra vez;positivo
Han enviado un modelo con unA placa que no corresponde y el servicio técnico fatal, solo contestaron los dos primeros correos, cuando les dije que no funcionaba dejaron de responder.;Fatal;negativo
Vienen con tara por lo que las tallas en la misma caja eran diferentes;Tiene tara y la talla no corresponde;negativo
Ya está montado, pero creo que seria mejor de 50cm;básico;neutro
Muy bonito calidad precio perfecto;Muy bien;positivo
La rosca de ajustar los milímetros de la llave se bloqueo y se tuvo que usar la fuerza bruta para que funcionara de nuevo. Salió un alambre del interior. Actualmente la llave funciona relativamente bien aunque a veces se bloquea de nuevo;Un poco malucha;negativo
Un juego en el que te lo vas a pasar genial con los amigos. Te vas a reír mucho con este juego;Juego para adultos genial;positivo
No lo han entregado aun. Un desastre el envio. Suponia que al venir desde China tardaria pero esto es demasiado.;Fatal;negativo
No me duró mucho, a la primera caída se m desmonto y las pilas no encajan bien.;Regular;negativo
Se deforma demasiado;No protege demasiado;negativo
Bastante sencillo para realmente lo que he pagado por el, me lo imaginaba mejor.El cuerpo necesitaba que fuese mas pesado, y el tapizado tiene un parte que cogió aire.;Me imaginaba algo un poco mas logrado la tela en un lado viene con un poco de aire y el busto muy ligero;neutro
hay q poner las monedas muy de espacio, si van una tras otra el contador no funciona bien;no so de todo fiables;negativo
He usado el modelo anterior de esta luz de lectura de Energizer y era mejor que el actual. Esta nueva versión da menos luz, apenas ilumina la parte inferior de la hoja del libro. Un poco decepcionante el producto, la verdad.;No es nada del otro mundo;negativo
es lo esperado, pañales que ya he usado en otras ocasiones. todo correcto y envío rápido. recomiendo comprar aquí .;bien;positivo
Soy camarera y este zapato es muy duro,tanto la suela como el resto del zapato,nada comodo;Es muy duro;positivo
Yo pensaba que las burbujas salian de la parte de abajo proporcionado el deseado masaje....pero no es así. Si lo se, me compro un cubo, me hubiera salido mas barato;Mal!;negativo
Hola necesito factura de mi pedido;Factura;positivo
Un libro muy completo sobre la dieta cetogénica. Permite conocer sus propiedades y mediante la presentación de varias recetas ayuda a ponerla en práctica en nuestro día a día.;Libro interesante y fácil de leer;negativo
Todo OK, pintan muy bien, el imán se agarra bien y cumplen perfectamente su función. Entrega en el plazo establecido.;Todo OK;positivo
De momento sólo lo he utilizado para capuccino y estoy realmente contenta con los resultados, menuda potencia! Totalmente recomendable, de las otras funciones aún no puedo opinar;Capuccino excelente;positivo
Artículo roto, ya que el plástico negro del que está hecho la máscara es muy endeble. Los leds están bien;Plastico mala calidad.;negativo
Son gruesas por lo que tiene pinta de que van a ser muy resistentes, mucho más que las otras que hay por ahí, demasiado delgadas. La única pega, es que pensé que serían un poco más anchas... Pero al ser tan gruesas no se enrollan en si mismas.;Buenas!;positivo
Al principio muy bonitos y muy bien pero a la semana de usarlos la bateria falla y no se emparejan. Pésima compra. Ya los estoy devolviendo.;Pésimos. Apenas han durado una semana.;negativo
Son varias las guías de este tipo que he comprado. Mapa plastificado y líneas de metro. Actualizado y con buenas explicaciones.;Buen producto;positivo
Es práctico y elegante. Lo mejor el cierre que se ajusta a la medida del usuario;Es práctico y elegante;positivo
Me decepcionó. Lo compre porque había escuchado una entrevista con el autor pero el libro no me ha gustado. No está bien escrito. Típico libro de autoayuda de baja calidad.;Decepcionante;negativo
"Los coches llegaron en el tiempo indicado, sirven para las pista de Magic tracks. Però el compartimento de la pila es muy ancho y la pila baila dentro, con lo que con cualquier movimiento se desplaza la pila y se detiene el coche, esa es la pega que tienen; yo lo he solucionado acoplando un trozo de papel para estrechar el compartimento, pero aun así se mueve un poco. Por lo demás bien.";regular;neutro
Perfecto Era lo q esperaba y la entrega ha sido adecuado y en fecha x x x x x x;Felix rodriguez;positivo
Cómoda pero muy básica;Esperaba algo más.;neutro
No me enviaron la de la imagen, sino la que pone ps4, me la quede porque me gustaba igualmente, pero se debería llevar mas cuidado. Con respecto a la bolsa se ve buena y protege muy bien, la recomiendo totalmente.;Muy buena bolsa de ps4 a buen precio;positivo
Las luces también, pero en la descripción del producto pone 30 globos con luces y los globos no los trae entonces hay que comprarlos aparte;Decepcionado;negativo
La caja ha llegado abierta con otro producto que pedí en otro momento han llegado los dos juntos y la caja abierta la ha podido ver en la persona que me lo ha traído o se ha podido perder por el camino;la caja envoltorio ha llegado abierta;negativo
Bueno, relación calidad precio excelente;Rápido y como esperado;positivo
Más pequeñas de lo esperado, recomiendo una talla más de la habitual, aunque la calidad del producto es buena;Calidad;positivo
voy por el tercer par, los otros dos se ha estropeado el auricular izquierdo por enrollarlos y meterlos en la mochila, el volumen da pena....;Se rompen;negativo
La verdad es que desconozco su eficiencia energética pero como radiadores son una maravilla.Suelen utilizarlos en UK, Irlanda y los paises nórdicos y esa gente entiende de frío.;Muy buenos radiadores;positivo
la funda es fantastica!!! pero el buho se pierde en nada...no se queda sujeto;una funda muy practica y muy bonita;positivo
Es una maquina potente, con un buena brida de conexión. Los cortes con el disco adecuado y bien paralelo pueden llegar a ser de perfección pues la brida de conexión y el propio sistema de eje del motor son muy precisos, altamente concéntricos y planos. La pega es que el sistema de ajuste de profundidad y el del ángulo de corte no son buenos, no es fácil ajustar el disco de manera que quede totalmente paralelo a la base de la maquina, ello es fundamental para un corte recto y sin descascarillar el material. Pero por lo que cuesta es una buena maquina;Potente;negativo
abriga un monton y es de muy buena calidad. No me esperaba que fuera tan buen producto. Recomendable 100% .;perfecto;positivo
Hola lun par de gafas bien el otro no tienen fuerza los imanes y no las puedo usar. Una pena;Una de dos;negativo
Esperaba que la limpieza de la plata fuera más fácil y no ha sido así. Dudo que realmente tengan algún producto impregnado;Decepción;negativo
He encontrado muchas partes de texto sin traducir al español, y el reconocimiento facial no funciona. También he visto que si se apaga el móvil por agotamiento de batería, se me desconfigura el sonido puesto como tono.;Poténcia;negativo
Muy bien, buena calidad de imagen, lo unico que las instrucciones las tienes que bajar por internet para enterarte bien como funciona.;Es lo que esperaba;positivo
¿Es normal que se ponga la uña blanca cuando se seca? Aun no puedo decir como me ha funcionado el producto;Amparo;negativo
Llegó antes de lo esperado;todo correcto;neutro
Tanto es así que no se si podré utilizarlos;Parpadea mucho;negativo
Buen articulo, un gran precio y un envio muy rápido, Muy contenta, en breve volvere a comprar otro, totalmente recomendado, gracias;excelente;positivo
Hace años que utilizo este producto y en mi caso obtengo muy buenos resultados..aplico la mezcla apenas unos minutos en las zonas del vello a decolorar y aclara hasta dejarlo casi transparente..no daña la piel aunque la aclara un poquito, claro que hay que respetar el tiempo de exposición..entrega muy rápida.;Cumple perfectamente su función;negativo
Es tal y como se ve en la foto. El tablero vino roto por un lado pero no tuvieron problema en enviarme otro tablero en seguida. La mesa es tal y como se ve en la foto. Queda muy bonita puesta;Mesa de comedor;negativo
No encaja con el producto. Exijo devolución y/o envío de funda que se acople bien. Espero vuestra respuesta cuanto antes.;NO FUNCIONA-NO ENCAJA CON EL TELÉFONO;negativo
Estaba agotado en librerías y por aquí me llego antes de lo esperado;Perfecto;positivo
Llegaba el día 17 antes de las 20 horas. Son las 20:30 del día 18 y todavía no ha llegado;Entrega fatal;negativo
Son muy malas. Desde el principio cortan mal, dando tirones como si estuvieran mal afiladas o gastadas. Duran muy poco, casi como las de usar y tirar. Jamás volveré a comprarlas.;Pésimas;negativo
No,aun no me ha llegado;Zapatos blancos;negativo
Muy malas es tirar el dinero;Duran 2 dias;negativo
quería saber más sobre la migraña, pero me ha parecido que es una estrategia para vender sus cursos on-line;superficial;positivo
Todavía no he recibido el producto dos días después;Sin noticias;negativo
Calidad buena. Cómodo para llevar a las dos fieras jeje;Bien calidad precio;positivo
No lo he recibido aun! Y lo pedi en agosto;Fatal;negativo
No me acaba de convencer pues no se acopla lo bien que debería al mando del DJI y baila al menor movimiento con lo que mientras estas volando el dron te estorba bastante;Muy inestable;negativo
Llegó antes de lo previsto y está bastante bien por el precio que tiene. Bastante buena calidad, no de las mejores pero aceptable y supongo que una temporada aguantará.;Buena relación calidad precio;positivo
No me ha gustado absolutamente nada. La imagen vende una cosa y te llega otra completamente distinta que parece plastilina. Además,el paquete llegó una semana más tarde de lo previsto. Si pudiera darle 0 estrellas se las daba,pero es obligatorio dejar una como mínimo,aunque en este caso me parece demasiado.;Engaño;negativo
Es un móvil que no es caro y tiene muchas prestaciones de un móvil caro, espacio, batería de larga duración, buena cámara de fotos, reconocimiento de huella.;Buena relación calidad/precio;positivo
No lo recomiendo, quizás mi bombilla ya estaba mal fabricada, pero no me duró ni un solo mes!;Dejó de funcionar en menos de 1 mes...;negativo
Producto bueno, pero una bolsa rota;Bolsa rota;negativo
Tamaño muy pequeño, casi tamaño niños, no vale para el acomodo de una persona adulta ni siquiera pequeña. Imposible usar;Tamaño muy pequeño;negativo
El producto en sí huele bien pero no cumple con su función.;Mala compra;negativo
No llegó, por lo visto el paquete se rompió;Una pena que no llegara;negativo
Tamaño justo y de buena calidad. Me gusta mucho;Perfecta;positivo
No está mal el producto...pero la pila ha durado 10 meses,me parece muy poco debería de durar al menos 10 años.;La pila dura muy poco,solo 10 meses;negativo
¡Ahora puedo dejar todo en mi mesita de noche! Apple Watch, iPhone n auricular. El soporte está muy bien arreglado para que luzca muy elegante una vez que cargas todo en él. Está hecho de aluminio por lo que la construcción es sólida y la base es fuerte para mantenerlo todo perfectamente. Todos los cables encajan perfectamente en el soporte. ¡Ahora todo se ve bien y ordenado! ¡Producto excelente!;El soporte está muy bien arreglado para que luzca muy elegante una vez que cargues todo ...;positivo
Se ven de buena calidad;Muy cómodos;positivo
Llegó incompleto y en mal estado;Fatal;negativo
Extremadamente fragil. Dos veces se me ha caído el móvil por la noche de la mesillas, dos conectores rotos. Se rompe el imán y ya no hay manera de conectar ni de cargar.;Muy frágil.;negativo
Genial! Recuerdo original para que la crisis de los 40 sea más llevadera. Viene muy bien presentado dentro de su caja. Lleva soporte y el rotulador, tal y como muestra la foto.;Genial;positivo
Muy bonitas de primeras, pero me han durado una semana, cuidandolas, sin mojarlas y demás.;Diseño bonito, poca duración.;negativo
He comprado el protector para mi MacBook Pro 13 con TouchBar y al ponerlo en la pantalla me he dado cuenta que en la parte de la cámara tiene 3 agujeros en vez de solo uno o dos, me resulta muy raro, pero quitando eso el protector cumple muy bien con su función y hasta ahora no veo signos de desgaste.;Buen protector, pero agujeros de mas.;negativo
Es un fallo que no puedas escuchar o meter un cd, cuando viajas, porque está esto, para mi no fue util;FALSO;negativo
buena sensibilidad táctil pero en menos de un mes ya tiene 2 esquinas cuarteadas de las caídas;protector pantalla;neutro
El envío muy bien. El producto correcto PERO, la DECEPCIÓN se debe a que me han enviado un producto ya usado que apestaba y estaba todo pringado. Puedo entender que un producto se estropee en el trayecto, pero no que me lo envíen usado.Si decido comprar uno nuevo, eso es lo que espero, ya que se supone que si lo quisiera de segunda mano o reacondicionado, para eso está ese apartado específico. Insisto, una gran decepción.;Decepción;negativo
No cubre toda la pantalla del teléfono;No cubre toda la pantalla del teléfono;negativo
Calidad de sonido magnífica pero la comodidad no tanto. Esta pensado para hacer deporte por lo que si lo utilizas como auriculares de diario puede que te duela la oreja al cabo de un tiempo. Ahora bien, no se como, se me han soltado los tapones de silicona, los normales, los dos, y no se donde encontrarlos y menos del color verde. Así que lo que más se puede valorar es la calidad del sonido que tiene y la sujeción, no se caen ni bailando.;CALIDAD DE SONIDO pero difícil encontrar repuestos.;negativo
"El concepto es bueno, la postura es relajada. Pero es demasiado grande y torpe, al menos para mí. Obliga a mover todo el brazo, y si eres de los que tiene el puntero bastante ""ágil"" cuesta ser preciso en los movimientos.";No me sirve;negativo
